Element ID;X;Y;Z
2504953;-54.363;82.378;2400.459
2504958;-49.357;79.835;2400.459
2504963;-46.046;77.292;2400.459
2504968;-41.789;85.396;2400.459
2504974;-40.968;94.32;2400.459
2504981;-20.286;95.14;2400.459
2504988;-42.773;71.387;2400.459
2504989;-43.757;67.45;2400.459
2504990;-42.773;63.513;2400.459
2504991;-41.789;67.45;2400.459
2505012;-48.678;57.607;2400.459
2505013;-49.663;53.67;2400.459
2505014;-48.678;49.733;2400.459
2505015;-47.694;53.67;2400.459
2505096;-79.521;71.872;2400.459
2505097;-79.522;71.872;2400.492
2505205;-83.865;55.065;2400.459
2505223;-83.062;69.237;2400.459
2505230;-77.565;71.809;2400.459
2505236;-71.478;75.961;2400.459
2505243;-71.868;84.301;2400.459
2505249;-74.903;90.884;2400.459
2505256;-86.079;91.802;2400.459
2505261;-96.004;93.408;2400.459
2505266;-95.378;95.811;2400.459
2505273;-84.554;99.135;2400.459
2505278;-72.402;100.561;2400.459
2505284;-66.895;88.171;2400.459
2505290;-63.366;74.837;2400.459
2505297;-67.108;61.917;2400.459
2505303;-72.377;49.933;2400.459
2505310;-75.944;48.823;2400.459
2505317;-77.96;45.406;2400.459
2505323;-80.912;41.989;2400.459
2505336;-82.398;39.817;2400.459
2505337;-82.398;39.817;2400.443
2505521;-87.277;41.989;2400.459
2505564;-83.865;42.326;2400.459
2505634;-96.669;42.663;2400.459
2505670;-109.472;39.817;2400.459
2505742;-100.081;36.971;2400.459
2505790;-90.689;39.48;2400.459
2505814;-66.641;42.663;2400.459
2505815;-77.96;42.326;2400.459
2505816;-66.641;41.989;2400.459
2505817;-55.323;42.326;2400.459
2505852;-44.915;76.721;2400.459
2505853;-44.915;76.721;2400.443
2505950;-89.935;48.823;2400.459
2506030;-96.004;71.918;2400.459
2506050;-95.378;95.811;2400.459
2506056;-84.554;99.135;2400.459
2506061;-72.402;100.561;2400.459
2506067;-66.895;88.171;2400.459
2506073;-63.366;74.837;2400.459
2506080;-67.108;61.917;2400.459
2506086;-72.377;49.933;2400.459
2506093;-75.944;48.823;2400.459
2506099;-77.96;45.743;2400.459
2506104;-66.64;42.663;2400.459
2506109;-55.285;50.039;2400.459
2506114;-52.83;63.916;2400.459
2506119;-51.488;70.817;2400.459
2506124;-53.05;69.911;2400.459
2506129;-54.919;69.119;2400.459
2506134;-58.308;76.005;2400.459
2506139;-54.363;82.378;2400.459
2506144;-49.357;79.835;2400.459
2506149;-46.046;77.292;2400.459
2506154;-41.789;85.396;2400.459
2506159;-40.968;94.32;2400.459
2506166;-20.286;95.14;2400.459
2506172;-0.424;93.122;2400.459
2506177;9.611;91.105;2400.459
2506182;19.645;100.587;2400.459
2506187;-44.915;110.424;2400.459
2506192;-109.474;76.721;2400.459
2506199;-96.669;42.663;2400.459
2506204;-83.865;45.743;2400.459
2506219;-82.946;70.313;2400.459
2506220;-82.946;70.313;2400.492
2506223;-75.372;90.244;2400.459
2506229;-72.806;84.005;2400.459
2506235;-72.095;76.283;2400.459
2506242;-77.861;72.748;2400.459
2506255;-84.849;58.974;2400.459
2506261;-89.935;49.807;2400.459
2506266;-95.02;70.313;2400.459
2506271;-85.587;90.818;2400.459
2506277;-96.004;70.313;2400.459
2506282;-86.079;91.802;2400.459
2506287;-74.903;90.884;2400.459
2506294;-71.868;84.301;2400.459
2506300;-71.478;75.961;2400.459
2506307;-77.565;71.809;2400.459
2506313;-83.062;69.237;2400.459
2506320;-83.865;58.482;2400.459
2506326;-89.935;48.823;2400.459
2506340;-76.278;81.181;2400.459
2506341;-76.278;81.181;2399.344
2506389;-81.683;81.181;2400.459
2506423;-77.425;72.885;2400.459
2506428;-72.095;76.283;2400.459
2506435;-72.806;84.005;2400.459
2506441;-75.372;90.244;2400.459
2506448;-78.919;90.818;2400.459
2506465;-89.935;70.313;2400.459
2506466;-89.935;70.313;2395.735
2506486;-89.935;90.818;2400.459
2506487;-95.02;70.313;2400.459
2506488;-89.935;49.807;2400.459
2506489;-84.849;70.313;2400.459
2506552;-41.789;67.45;2400.459
2506557;-42.773;63.513;2400.459
2506562;-43.757;67.45;2400.459
2506567;-42.773;71.387;2400.459
2506572;-47.694;53.67;2400.459
2506577;-48.678;49.733;2400.459
2506582;-49.663;53.67;2400.459
2506587;-48.678;57.607;2400.459
2506592;-39.443;57.624;2400.459
2506597;-37.097;50.143;2400.459
2506602;-39.443;42.663;2400.459
2506607;-41.789;50.143;2400.459
2506631;-84.058;79.809;2400.459
2506632;-84.058;79.809;2397.047
2506651;-84.058;90.818;2400.459
2506652;-84.849;79.809;2400.459
2506719;-83.266;80.922;2400.459
2506762;-82.475;80.932;2400.459
2506763;-82.475;80.932;2398.146
2506764;-82.475;90.818;2400.459
2506765;-83.266;80.932;2400.459
2506766;-82.475;71.296;2400.459
2506767;-81.683;81.181;2400.459
2506936;-78.919;90.785;2400.459
2506952;-75.388;90.223;2400.459
2506957;-72.838;83.995;2400.459
2506961;-72.116;76.294;2400.459
2506966;-77.426;72.919;2400.459
2506970;-84.882;58.974;2400.459
2506974;-89.967;49.84;2400.459
2506978;-94.987;70.345;2400.459
409904;0.0;0.0;-500.05
409911;0.0;0.0;-500.05
2507200;-89.902;90.785;2400.459
2507249;-84.058;90.785;2400.459
410116;0.0;0.0;-500.05
410123;0.0;0.0;-500.05
2507274;-82.475;90.785;2400.459
410130;0.0;0.0;-500.05
410137;0.0;0.0;-500.05
2507449;-82.119;71.442;2400.459
2508004;-84.882;79.447;2400.459
2508125;-83.299;80.934;2400.459
2508238;-81.717;81.183;2400.459
2508294;-82.119;77.386;2400.459
2508295;-82.084;77.363;2402.493
2508322;-61.874;87.88;2400.459
2508327;-58.671;54.807;2400.459
2508373;0.0;0.0;-0.0
2508375;-82.084;77.363;2404.396
2508377;-82.119;77.386;2404.462
2508384;-61.874;87.88;2404.462
2508385;-58.671;54.807;2404.462
2508386;-86.024;44.313;2404.462
2508387;-61.874;87.88;2404.462
2508389;-46.377;87.845;2400.459
2508390;-46.377;87.845;2402.493
2508394;-46.377;87.845;2400.459
2508447;0.0;0.0;-0.0
2508448;-46.377;87.845;2404.396
2508450;-46.377;87.845;2404.462
2508457;-46.377;87.845;2404.462
2508458;-46.377;87.845;2404.462
2508624;-44.933;-9.443;2400.459
2508625;-44.933;-9.443;2400.492
2508662;-109.039;-15.176;2400.459
2508678;-76.013;-16.108;2400.459
2508684;-46.498;-15.361;2400.459
2508691;-45.676;-10.012;2400.459
2508697;-41.427;-5.483;2400.459
2508702;-37.179;-10.027;2400.459
2508707;-36.361;-15.391;2400.459
2508714;-28.398;-16.229;2400.459
2508721;-20.432;-15.427;2400.459
2508728;-19.61;-10.061;2400.459
2508734;-14.656;-5.516;2400.459
2508739;-9.702;-10.078;2400.459
2508744;-8.883;-15.461;2400.459
2508751;-6.31;-16.285;2400.459
2508758;-3.733;-15.469;2400.459
2508765;-2.91;-4.038;2400.459
2508771;-0.893;6.574;2400.459
2508776;1.125;-4.047;2400.459
2508781;1.943;-15.488;2400.459
2508788;5.718;-16.316;2400.459
2508795;9.497;-15.503;2400.459
2508802;10.32;-3.567;2400.459
2508808;14.964;7.548;2400.459
2508813;19.56;-1.092;2400.459
2508818;19.869;-9.731;2400.459
2508823;20.181;-18.082;2400.459
2508828;8.662;-26.405;2400.459
2508834;-2.812;-25.272;2400.459
2508839;-6.306;-24.159;2400.459
2508845;-9.8;-25.254;2400.459
2508856;-19.511;-25.229;2400.459
2508861;-28.394;-24.103;2400.459
2508867;-37.277;-25.185;2400.459
2508872;-45.578;-25.164;2400.459
2508877;-75.314;-23.984;2400.459
2508946;-104.543;-12.334;2400.459
2509122;-41.427;-26.278;2400.459
2509208;-14.656;-26.346;2400.459
2509238;-105.099;-25.013;2400.459
2509245;-106.022;-8.633;2400.459
2509250;-107.825;-12.296;2400.459
2509266;-110.076;-20.248;2400.459
2509273;-107.604;-26.11;2400.459
2509322;-53.98;-25.143;2400.459
